plant_name,soil_types,soil_ph_min,soil_ph_max,temperature_min_c,temperature_max_c,humidity_min_pct,humidity_max_pct,rainfall_min_mm,rainfall_max_mm,sunlight,irrigation,planting_months,growing_durations,minimum_budget_lkr,growing_spaces,soil_requirement,sunlight_requirement,watering_requirement,planting_method,fertilizer_care,growing_period,selling_price_lkr,harvesting_information
Tulsi,Loamy;Silty,6.0,7.5,20,35,40,85,40,180,Partial;Full,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,January;February;March;April;May;June;July;August;September;October;November;December,Short;Medium,1500,Under 1 perch;1-5 perches;6-10 perches,"Loamy, well-drained soil",Partial to full sunlight,Water when the topsoil feels dry,Sow seeds or plant a healthy cutting,Compost every 4 to 6 weeks,3 to 4 months for regular leaf harvest,Varies by local market and product form,Harvest leaves and soft stems regularly
Turmeric,Loamy;Silty,5.5,6.5,20,35,60,95,100,300,Partial,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,May;June;July;August;September,Medium;Long,8000,6-10 perches;11-20 perches;21-50 perches;51-100 perches;101-500 perches;1/4 acre;1/2 acre;1 acre;More than 1 acre,"Rich, loose loamy soil",Partial sunlight,Keep soil evenly moist never waterlogged,Plant healthy rhizome pieces 5 cm deep,Use compost or balanced fertilizer during growth,8 to 10 months,Varies by rhizome quality and local market,Harvest when leaves turn yellow and dry
Aloe vera,Sandy;Loamy,6.5,7.5,18,40,30,75,10,100,Partial;Full,Hand watering;Drip irrigation;Hose,January;February;March;April;October;November;December,Short;Medium;Long,2000,Under 1 perch;1-5 perches;6-10 perches,"Sandy, fast-draining soil",Partial to full sunlight,Water deeply and allow soil to dry between watering,Plant offsets or rooted pups,Light compost feed twice a year,8 to 12 months for mature leaves,Varies by leaf quality and local market,Cut outer leaves close to the base
Ashwagandha,Sandy;Loamy,7.0,8.0,20,35,30,70,20,150,Full,Rain only;Hand watering;Drip irrigation;Hose,September;October;November;December,Medium;Long,6000,6-10 perches;11-20 perches;21-50 perches;51-100 perches;101-500 perches;1/4 acre;1/2 acre;1 acre;More than 1 acre,Sandy loam with good drainage,Full sunlight,Water lightly and avoid standing water,Sow seeds directly in prepared soil,Add compost before planting and once during growth,5 to 6 months,Varies by dried-root quality and local market,Harvest roots when leaves dry and berries mature
Neem,Sandy;Loamy;Silty,6.0,8.0,20,40,30,80,40,250,Full,Rain only;Hand watering;Drip irrigation;Hose,January;February;March;April;May;June,Long,3000,21-50 perches;51-100 perches;101-500 perches;1/4 acre;1/2 acre;1 acre;More than 1 acre,Sandy or loamy soil,Full sunlight,Water young plants regularly and mature trees less,Plant fresh seeds or a nursery sapling,Compost once or twice yearly,3 to 5 years for useful seed harvest,Varies by seed and leaf market,Collect mature seeds and prune leaves as needed
Ginger,Loamy;Silty,5.5,6.5,20,32,60,95,100,300,Partial,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,March;April;May;June;July,Medium,7000,1-5 perches;6-10 perches;11-20 perches;21-50 perches;51-100 perches,"Moist, rich loamy soil",Partial sunlight,Keep soil moist with regular watering,Plant pieces of healthy ginger rhizome,Compost and organic fertilizer every 6 weeks,8 to 10 months,Varies by rhizome quality and local market,Lift rhizomes after leaves yellow
Lemongrass,Loamy;Sandy,5.0,7.5,20,35,40,85,60,250,Full,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,January;February;March;April;May;June;July;August,Short;Medium,2500,1-5 perches;6-10 perches;11-20 perches;21-50 perches;51-100 perches,Loamy or sandy soil,Full sunlight,Water regularly while establishing,Plant rooted divisions or stem cuttings,Add compost every 2 to 3 months,4 to 6 months for first harvest,Varies by stalk quality and local market,Cut outer stalks near the base
Mint,Loamy;Silty,6.0,7.0,15,30,50,95,60,250,Low;Partial,Hand watering;Drip irrigation;Sprinkler;Hose,September;October;November;December;January,Short;Medium,1500,Under 1 perch;1-5 perches;6-10 perches,"Moist loamy or silty soil",Low to partial sunlight,Keep soil consistently moist,Plant stem cuttings or rooted runners,Use light compost monthly,2 to 3 months,Varies by leaf quality and local market,Pick leaves and tips often to encourage growth
Cinnamon,Loamy;Silty,5.0,6.5,20,35,60,95,100,300,Partial;Full,Rain only;Hand watering;Drip irrigation;Hose,May;June;July;August;September;October,Long,10000,21-50 perches;51-100 perches;101-500 perches;1/4 acre;1/2 acre;1 acre;More than 1 acre,"Deep, fertile loamy soil",Partial to full sunlight,Water regularly during dry periods,Plant seeds or a healthy nursery sapling,Use compost twice yearly,2 to 3 years for first bark harvest,Varies by bark grade and local market,Harvest mature bark carefully from branches
Gotu kola,Silty;Loamy,5.5,6.5,20,32,65,100,100,350,Low;Partial,Rain only;Hand watering;Drip irrigation;Sprinkler;Hose,June;July;August;September;October,Short;Medium,2000,Under 1 perch;1-5 perches;6-10 perches;11-20 perches,"Moist silty or loamy soil",Low to partial sunlight,Keep soil moist without flooding,Plant runners or stem cuttings,Add compost every 4 to 6 weeks,2 to 3 months,Varies by leaf quality and local market,Harvest leaves and runners regularly
