species,disease_name,display_name,description,typical_symptoms,healthy_difference,medicinal_use_instruction,treatment_instruction,medicinal_suitability_level,medicinal_suitability_assessment,reference
Neem,Alternaria,Alternaria Leaf Spot / Blight,A fungal foliar disease reported on neem and commonly associated with Alternaria alternata. It can begin as localized spotting and progress to blighting of affected leaf tissue.,"Dark brown to black spots, often on yellowing tissue; spots may enlarge or merge; affected areas can become necrotic and leaves may dry or shed prematurely.","Healthy neem leaves are normally deep green and intact, without dark necrotic spots, expanding blighted areas, or abnormal yellowing.","Not recommended for medicinal use: discard the visibly affected leaf rather than cutting around the lesions. Use separate, fully healthy neem leaves only after the plant is under control and normal quality checks are satisfied.","Remove heavily infected leaves and fallen debris; improve spacing and airflow; avoid prolonged wet foliage. If disease persists, use only a locally registered treatment for neem and follow the label and pre-harvest interval.",Not_Recommended,Active fungal spotting/blight and necrotic tissue make the affected leaf unsuitable as medicinal raw material. Use separate healthy leaves after the disease is controlled.,https://agritech.tnau.ac.in/forestry/forest_disease_neem.html | https://www.techscience.com/cmc/v69n2/43865/html | https://doi.org/10.48084/etasr.15752 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
Neem,Bacterial_infection,Bacterial Leaf Infection,"A bacterial foliar condition of neem. Bacterial leaf spot and vein-blight symptoms have been reported in neem, with Pseudomonas and Xanthomonas species among reported causal bacteria.","Water-soaked or angular dark spots, yellowing around lesions, vein blight, and sometimes shot-hole symptoms where dead tissue falls out; severe lesions may merge and contribute to leaf drop.","Healthy neem leaves should not show water-soaked angular lesions, shot holes formed from dead tissue, dark bacterial-looking spots, or blighted veins.","Not recommended for medicinal use: discard leaves showing water-soaked, necrotic, shot-hole, or blighted symptoms. Do not try to salvage the affected leaf by trimming the visible spot.","Remove affected leaves, dispose of infected debris, sanitize cutting tools, avoid overhead watering and handling plants while wet, and reduce leaf-to-leaf splash. Seek confirmation before using any bactericide.",Not_Recommended,"Visible bacterial-type infection, necrosis or blighting is incompatible with medicinal raw-material quality. The affected leaf should not be used.",https://www.tandfonline.com/doi/abs/10.1080/09670877009413406 | https://agritech.tnau.ac.in/forestry/forest_disease_neem.html | https://doi.org/10.48084/etasr.15752 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
Neem,Defoliator,Defoliator Damage,A pest-damage class rather than a plant disease. Defoliating insects or other leaf-feeding pests remove leaf tissue and can reduce foliage substantially.,"Missing or eaten leaf tissue, ragged or geometric chewing marks, partial skeletonization, damaged margins, drying of remaining tissue, and partial or severe defoliation.","Healthy neem leaves retain complete leaflets and margins without extensive chewing, skeletonization, or unexplained loss of foliage.","Do not use heavily chewed or contaminated leaves for medicinal preparation. Prefer a separate intact, healthy leaf from the same plant after the pest problem is controlled.","Inspect both leaf surfaces and shoots for larvae or eggs; hand-remove pests where practical; prune severely damaged leaves; conserve natural enemies. If an insecticide is needed, use only one registered for the crop and observe the label and pre-harvest interval.",Low_Suitability,"Feeding damage does not prove that all medicinal compounds are lost, but substantial chewing and possible pest contamination reduce material quality. Prefer intact healthy leaves.",https://www.ncbi.nlm.nih.gov/books/NBK234651/ | https://assets.publishing.service.gov.uk/media/57a08d82e5274a31e00018d6/R7348_report.pdf | https://doi.org/10.48084/etasr.15752 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
Neem,Dieback,Neem Dieback,A progressive shoot-and-branch decline syndrome reported in neem. Phomopsis azadirachtae has historically been associated with neem dieback in published reports.,Drying starts at terminal shoots and progresses downward; crown thinning and defoliation may occur; inflorescence blight and premature wilting of fruits can accompany severe cases.,"Healthy neem shoots remain green and actively growing, without progressive drying from the tip toward the base or widespread branch death.","Do not use leaves from dying, wilted, or visibly affected shoots for medicinal preparation. Harvest only separate healthy growth after the cause of dieback has been addressed and the plant has recovered.","Prune dead or affected shoots back into healthy tissue using sanitized tools; remove infected debris; reduce plant stress and correct drainage problems. Because dieback can have several causes, obtain plant-pathology confirmation if it continues.",Not_Recommended,Leaves from actively dying or severely declining shoots should not be used as medicinal raw material because the underlying cause and tissue quality are uncertain.,https://www.researchgate.net/publication/381964932_Neem_Azadirachta_indica_A_Juss_die-back_disease_-_a_report | https://doi.org/10.48084/etasr.15752 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
Neem,Irregular_yellowing,Irregular Yellowing,"A visible stress/condition class, not a single confirmed disease diagnosis. Irregular yellowing in neem may be associated with nutritional deficiency, water/root stress, pest pressure, or systemic disease and therefore requires further diagnosis.","Patchy or uneven chlorosis, yellowing of tips or margins, mottled green-and-yellow areas, reduced vigor, drooping, and in some cases premature leaf fall.","Healthy neem foliage is generally evenly green and vigorous rather than patchily chlorotic, mottled, or prematurely yellowing.",Not recommended when yellowing is strong or unexplained. Do not use the discolored leaf as medicinal material; choose a separate healthy green leaf only after the underlying stress or disease has been identified.,"Do not apply a disease-specific treatment from yellowing alone. Check watering, drainage, root health, nutrition, pest activity, and other disease signs; correct the confirmed cause and monitor new growth.",Expert_Verification_Recommended,Irregular yellowing is a nonspecific stress symptom. The cause and medicinal-material quality cannot be determined reliably from appearance alone.,https://doi.org/10.48084/etasr.15752 | https://www.ncbi.nlm.nih.gov/books/NBK234651/ | https://www.fao.org/4/u8520e/u8520e09.htm | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
Neem,Leaf_Blight,Leaf Blight,"A broad foliar blight syndrome in neem. Multiple fungal causes have been reported in different studies, so this class should not be treated as a single pathogen-specific diagnosis unless the dataset provides confirmed etiology.","Expanding brown to dark necrotic areas, large blighted patches, drying and collapse of affected tissue, and possible premature defoliation in severe cases.","Healthy neem leaves lack large expanding necrotic patches, widespread blighting, and rapid drying of substantial portions of the lamina.",Not recommended for medicinal use: discard blighted or necrotic leaves. Do not cut away the brown area and use the rest of the same affected leaf.,"Remove severely affected leaves and fallen debris; improve airflow; avoid prolonged leaf wetness and overhead irrigation. If a fungicide is required, first confirm the causal disease and use only a locally registered product according to the label.",Not_Recommended,Blighted and necrotic tissue is visibly deteriorated and may be pathogen-associated. The affected leaf should not be used medicinally.,https://agritech.tnau.ac.in/forestry/forest_disease_neem.html | https://www.researchgate.net/publication/237816317_Leaf_blight_of_Azadirachta_indica_and_its_management_in_vitro | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
Neem,Leaf_Miners,Leaf Miner Damage,An insect-mining damage class rather than a fungal or bacterial disease. Leaf-miner larvae feed within leaf tissue and create visible mines. The exact leaf-miner species on neem should be confirmed for the local dataset.,"Pale or whitish serpentine tunnels or blotch-like mines inside the leaf, small feeding punctures, localized drying, and in severe cases premature leaf drop.","Healthy neem leaves do not contain winding translucent mines, internal blotches, or characteristic feeding trails within the leaf blade.","Do not use heavily mined leaves for medicinal preparation. Prefer separate, intact healthy leaves; do not rely on cutting around visible mines because larvae and damaged tissue may extend within the leaf.","Remove heavily mined leaves where practical, inspect new flush regularly, reduce nearby alternate hosts/weeds, and protect natural parasitoids. Use a registered pest-control product only if damage is severe and follow the pre-harvest interval.",Low_Suitability,"Mining damage can leave some intact tissue, but internal feeding injury and possible pest contamination reduce suitability. Prefer separate undamaged leaves.",https://www.agritech.tnau.ac.in/crop_protection/tomato/tomato_2.html | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
Neem,Leaf_Miners_Powdery_Mildew,Leaf Miner Damage + Powdery Mildew,"A combined condition representing simultaneous leaf-miner injury and powdery mildew symptoms. It should be treated as a mixed condition, not as one causal disease.","Serpentine or blotch-like mines within the leaf together with white to gray powdery fungal patches on the surface; yellowing, drying, or premature leaf drop may occur when damage is extensive.",Healthy neem leaves lack both internal mining trails and white/gray powdery fungal growth.,"Not recommended for medicinal use: discard leaves showing both mining injury and powdery fungal growth. Use only separate, healthy leaves after both problems are controlled.","Manage the two problems separately: remove heavily mined/mildewed leaves, improve airflow, reduce prolonged leaf wetness, monitor for miners, and conserve beneficial insects. Use only locally registered controls appropriate to each problem.",Not_Recommended,"This combines insect injury with active fungal growth, making the affected leaf unsuitable for medicinal raw material.",https://www.agritech.tnau.ac.in/crop_protection/tomato/tomato_2.html | https://agritech.tnau.ac.in/forestry/forest_disease_neem.html | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
Neem,Leaf_Rust,Leaf Rust (Dataset Label),"A rust-like foliar condition corresponding to the dataset label. A neem-specific causal rust fungus was not reliably verified in the sources reviewed, so this row intentionally describes the visible rust syndrome rather than naming a pathogen.","Powdery yellow, orange, rust-brown, or dark pustule-like spots on leaves, often accompanied by chlorosis and drying when infection is severe.",Healthy neem leaves do not show rust-colored powdery pustules or spore-like masses on the leaf surface.,Not recommended for medicinal use: discard leaves showing rust-like pustules or substantial yellowing. Do not use the unaffected-looking portion of the same diseased leaf.,"Remove and dispose of infected leaves and fallen debris, avoid overhead watering, improve airflow, and prune heavily affected shoots when appropriate. Confirm true rust before applying any fungicide.",Not_Recommended,Rust-like pustules and associated deterioration indicate active foliar disease. The affected leaf should not be used medicinally.,https://ipm.ucanr.edu/agriculture/floriculture-and-ornamental-nurseries/rust/ | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739 | https://ipm.ucanr.edu/home-and-landscape/rusts-trees-and-shrubs/
Neem,Yellow,General Yellowing,"A visible yellowing/stress class rather than a single pathogen-specific disease. In a recent medicinal-leaf disease dataset, neem yellowing was described as generalized yellowing and drooping associated with nutritional stress or possible early systemic infection.","Generalized loss of green color, pale or yellow leaflets, possible drooping, and reduced visual vigor without necessarily having a distinct lesion pattern.","Healthy neem leaves are normally deep green and firm rather than broadly yellow, pale, or drooping.",Not recommended when the leaf is broadly yellow or stressed. Use a separate healthy green leaf only after the cause has been corrected; yellowing alone does not identify a pathogen.,"Check irrigation, drainage, root condition, nutrition, pests, and other disease symptoms. Correct the identified stress and monitor whether new leaves return to normal green growth.",Expert_Verification_Recommended,General yellowing is a nonspecific stress sign and does not reveal its cause or the concentration of medicinal constituents. Expert or agronomic verification is appropriate.,https://doi.org/10.1038/s41598-026-39182-3 | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
Neem,Powdery_Mildew,Powdery Mildew,A fungal disease of neem reported as powdery mildew and associated with Oidium azadirachtae in forestry pathology references.,White powdery patches on the leaf surface that can enlarge and merge; severe infection may give the lamina a gray-white appearance and contribute to premature defoliation.,Healthy neem leaves are clean and green without white or gray powdery fungal growth on the surface.,Not recommended for medicinal use: discard leaves with visible white/gray powdery growth. Do not wash or trim the affected area and then use the same leaf as medicinal material.,"Remove heavily infected leaves, improve spacing and airflow, avoid conditions that keep foliage persistently humid, and clean up fallen material. If needed, use only a locally registered mildew treatment and follow the label and pre-harvest interval.",Not_Recommended,Visible fungal growth is incompatible with medicinal raw-material quality. Do not use the affected leaf.,https://agritech.tnau.ac.in/forestry/forest_disease_neem.html | https://www.who.int/publications/i/item/9241546271 | https://www.who.int/publications/i/item/9789241500739
