species,model_stage_label,canonical_maturity_stage,stage_order,supported_for_model3,leaf_length_min_cm,leaf_length_max_cm,leaf_width_min_cm,leaf_width_max_cm,numeric_size_evidence,literature_size_reference,relative_leaf_size,typical_texture,typical_edge,typical_color,surface_character,development_marker,visual_characteristics,best_manual_cues,size_support_strength,texture_support_strength,color_support_strength,decision_support_rule,evidence_strength,local_calibration_required,medicinal_suitability_level,medicinal_maturity_assessment,medicinal_evidence_strength,reference
betel,Young,Young,1,Yes,,,,,No reliable stage-specific young-leaf length/width cutoff found.,"Young leaves in a Sri Lankan study were defined as the second leaf from the shoot apex. The study reported morphology and length:width ratios, not absolute stage-specific dimensions.",Usually smaller / less fully expanded than mature leaves; use relative size only after local calibration.,Shiny/glossy; texture alone is a weak maturity discriminator because young and mature betel can both be glossy.,Entire to undulate depending on cultivar; not a strong maturity cue.,"Cultivar-dependent. Young Sri Lankan leaves ranged from light green/green to dark or deep green, so color alone is unreliable.",Generally shiny; some cultivar variation.,Strongest published young-leaf marker: second leaf from the shoot apex.,"Young/immature leaf from the apical flush; generally less expanded than a market-ready mature leaf. Cultivar strongly affects color, shape and size.",Leaf position from shoot apex (if known); measured leaf length/width after cultivar-aware local calibration; relative expansion.,Medium,Low,Low,"When Model 3 confidence is low, support Young only if available manual evidence indicates a less-expanded leaf and/or the leaf is near the shoot apex. Do not use green shade alone to override the model.",High for leaf-position definition; Low-to-Medium for purely visual separation.,Yes,Suitable,"Young betel leaves remain medicinally relevant and can be rich in bioactive compounds. Recent growth-stage research found young leaves had the highest total phenolic content and strongest DPPH/ABTS antioxidant activity among young, mature and old leaves. Other work found younger leaves produced more essential oil, although essential-oil composition changes with maturity. Therefore Young is suitable, but it should not be presented as universally superior for every medicinal preparation.",High,https://doi.org/10.4038/cjs.v55i1.8837 | https://cjs.sljol.info/articles/8837/files/69a134d83d8ae.pdf | https://doi.org/10.14456/kcsj.2025.6 | https://doi.org/10.1016/j.foohum.2023.10.017 | https://pmc.ncbi.nlm.nih.gov/articles/PMC3263050/
betel,Mature,Mature,2,Yes,14.4,19.01,8.48,15.76,Soft literature reference only; values are means/ranges across six Sri Lankan cultivars and must not be used as universal hard cutoffs.,Sri Lankan mature leaves from six cultivars had mean lengths about 14.40-19.01 cm and widths about 8.48-15.76 cm; Malabulath was the largest cultivar.,Fully expanded / larger than young apical leaves.,Glossy/shiny and fully expanded; exact toughness varies by cultivar.,Entire to undulate depending on cultivar; not a strong maturity cue.,"Green shade varies strongly by cultivar; mature leaves can be green, deep green or cultivar-variegated.",Glossy/shiny mature lamina.,Matured leaf ('Peedunu kola') used for consumption/marketing in Sri Lankan work.,Fully expanded market-type leaf. Size is useful only when interpreted with cultivar because mature Sri Lankan cultivars differ substantially.,Leaf length and width; full expansion; cultivar/leaf-position context if available.,Medium-High,Low,Low,"If confidence is low, a fully expanded leaf with measurements close to the locally calibrated mature range supports Mature. Treat the published Sri Lankan dimensions as soft references, not universal thresholds.",High for Sri Lankan mature-leaf morphology; Medium for generalization across cultivars.,Yes,Suitable,"Mature/harvest-stage betel leaves are suitable medicinal material. Sri Lankan research reports that important essential-oil constituents such as safrole and chavibitol acetate reach maximum levels around the harvesting stage, supporting the traditional importance of maturity in betel preparations. Some antioxidant studies favour younger leaves, so Mature should be treated as a strong medicinal stage rather than the only effective stage.",High,https://tsylvester8.github.io/terrence.pubs/2017b.pdf | https://www.researchgate.net/publication/341754890_Characterization_of_Leaf_and_Vine_Morphological_Diversity_Phytochemical_Composition_and_Antibacterial_Activity_in_the_Leaf_Extracts_of_Six_Piper_betle_L_Cultivars_in_Sri_Lanka | https://pmc.ncbi.nlm.nih.gov/articles/PMC3263050/ | https://doi.org/10.1016/j.foohum.2023.10.017 | https://doi.org/10.14456/kcsj.2025.6
centella_asiatica,Young,Young,1,Yes,,,,,No universal stage-specific numeric cutoff; Centella leaf size varies strongly among morphotypes/accessions and environment.,"Young leaves have been separated from mature leaves by smaller size and light-green color. Across accessions, absolute leaf size is highly variable, so a global cm threshold would be unsafe.",Small / less expanded compared with mature leaves from the same plant or accession.,Young leaves may show a few trichomes/hairs on the lower surface; generally thinner/tenderer than developed leaves.,Crenate to dentate; edge form is species morphology and is not a strong maturity discriminator.,Light green is a published young-leaf cue.,May have slight lower-surface hairiness; environmental conditions can affect gloss and thickness.,"Young leaves described as small, light-green leaves; leaf-age studies also track early stages from emergence.","Smaller light-green leaf, often less expanded. Use color together with relative size because environment and morphotype can alter both.",Relative leaf size; color; lower-surface hairiness if confidently observed.,"High (relative), Low (absolute cm without calibration)",Medium,High,"When Model 3 confidence is low, Small + Light_Green strongly supports Young if the leaf is otherwise healthy. Ignore size in cm unless local accession-specific thresholds have been calibrated.",High for smaller/light-green young-vs-dark-green mature distinction; Low for universal numeric cutoffs.,Yes,Suitable,"Young Centella leaves are medicinally relevant. Developmental metabolomics shows that several triterpenoid saponins accumulate rapidly at early leaf-development stages before later declining or stabilizing. Young leaves are also documented in traditional use. However, different Centella metabolites follow different developmental patterns, so Young cannot be labelled universally more medicinal than Mature.",High,https://doi.org/10.18697/ajfand.86.17750 | https://www.ajfand.net/Volume19/No3/Mertz17750.pdf | https://pmc.ncbi.nlm.nih.gov/articles/PMC10811118/ | https://doi.org/10.3389/fpls.2023.1295186 | https://pmc.ncbi.nlm.nih.gov/articles/PMC6857646/
centella_asiatica,Mature,Mature,2,Yes,,,,,No universal mature cutoff. Fully mature leaf width differs substantially among accessions/morphotypes.,"Published mature-leaf studies show strong accession variation; fully mature width has been reported around 2.5-5 cm or more depending on morphotype, while broader germplasm studies report large size variation.",Larger / fully expanded compared with young leaves of the same plant/accession.,Mature/adult leaves are generally glabrous; can range from thin to more leathery depending on accession/environment.,Crenate to dentate; not a maturity-specific cue.,"Dark green is a published mature-leaf cue, but shade and moisture/light conditions can alter color.",Generally glabrous; gloss/thickness influenced by environment.,Fully developed larger leaf; mature leaves separated from young leaves by darker color and larger size in published work.,Fully expanded and generally darker green than young leaves. Absolute dimensions must be calibrated to the local morphotype/accession.,Relative leaf size + dark-green color; smooth/glabrous surface as secondary support.,"High (relative), Low (absolute cm without calibration)",Medium,High,"When confidence is low, Larger/Fully_Expanded + Dark_Green supports Mature. If size and color conflict, do not force a decision; return maturity uncertain or request expert verification.",High for relative size/color distinction; Low for global numeric cutoffs.,Yes,Suitable,"Mature Centella leaves remain suitable medicinal material. Leaf-development studies show that the plant's triterpenoid profile changes dynamically rather than simply rising or falling with age: some triterpenoid-synthesis precursors increase through development, while several saponins peak earlier and later stabilize. The appropriate stage therefore depends on the target compounds and cultivation conditions.",High,https://doi.org/10.18697/ajfand.86.17750 | https://www.ajfand.net/Volume19/No3/Mertz17750.pdf | https://pmc.ncbi.nlm.nih.gov/articles/PMC10761913/ | https://www.sciencedirect.com/science/article/abs/pii/S0926669024009531 | https://doi.org/10.3389/fpls.2023.1295186 | https://koreantk.com/ktkp2014/thesis/thesis-view.view?ctrlNo=OOJJBO-2002-v10n5-375&tempLang=ko
holy_basil,Not_Assessed,Not_Assessed,,No,,,,,Not used.,No sufficiently reliable visual maturity rule has been defined for this project.,Not used.,Not used.,Not used.,Not used because holy basil cultivar/pigmentation differences can confound maturity.,Not used.,Model 3 should skip this species until a reliable expert-backed maturity definition is available.,Return Not_Assessed rather than forcing a maturity prediction.,None currently approved.,None,None,None,Do not infer maturity from the support CSV. Return Not_Assessed / Expert_Verification_Recommended.,Insufficient for project-level visual maturity classification.,"Yes, before adding to Model 3",Expert_Verification_Recommended,"This project currently has no reliable visual maturity classes for holy basil. Because Model 3 does not assess maturity for this species, no maturity-based medicinal-suitability claim should be generated. Use a healthy-leaf quality assessment and expert/validated harvest guidance instead.",Insufficient,
kalanchoe_pinnata,Young,Young,1,Yes,,,,,Young-vs-mature absolute cm cutoff not published in the cited developmental study.,"In a controlled Bryophyllum/Kalanchoe pinnata study, young leaves were flushed within ~3 weeks; mature leaves were fully expanded and flushed ~2 months earlier. Mature leaf area averaged about 4x young leaf area.",Small; substantially less leaf area than mature fully expanded leaves.,Succulent and glabrous; texture is similar across stages and therefore a weak discriminator.,Crenate/scalloped; edge form is not a reliable maturity cue.,Generally green; red/purple coloration may be influenced by exposure and is not a reliable maturity cue.,"Succulent, smooth/glabrous.","Young leaves: recently flushed (within ~3 weeks in the controlled study), not fully expanded.",Main reliable visual cue is smaller size / incomplete expansion. Mature leaves in the cited study had roughly four times the area of young leaves.,Leaf length/width after local calibration; relative size/full expansion. Texture and color should receive little weight.,High (relative),Low,Low,"When confidence is low, use size/expansion as the primary support. Do not let color or succulent texture override the model. Absolute cm boundaries must come from measurements of your own dataset.",High for developmental age and relative area difference; Low for universal absolute dimensions.,Yes,Expert_Verification_Recommended,"Kalanchoe pinnata leaves are medicinally active, but reliable evidence directly comparing young versus mature leaves for overall medicinal effectiveness is limited. Published age-related work compares plants of different ages rather than the exact visual Young/Mature leaf stages used in this model. Therefore a healthy young leaf may contain useful bioactives, but this system should not claim it is the optimal medicinal stage from maturity alone.",Low,https://doi.org/10.1016/j.bbabio.2019.04.006 | https://pubmed.ncbi.nlm.nih.gov/31029592/ | https://www.nzflora.info/factsheet/Taxon/Kalanchoe-pinnata.html | https://pmc.ncbi.nlm.nih.gov/articles/PMC6930271/ | https://pubmed.ncbi.nlm.nih.gov/20714893/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC11247786/
kalanchoe_pinnata,Mature,Mature,2,Yes,,,,,No validated young/mature absolute cutoff. General botanical dimensions must not be treated as a maturity boundary.,"General simple-leaf/terminal-leaflet dimensions are often around 6-13 x 4-7.5 cm in one flora, while broader sources report greater variation. In a controlled study mature leaf area was ~4x young leaf area.",Large / fully expanded relative to young leaves.,Fleshy/succulent and glabrous; texture alone has low discriminatory value.,Crenate/scalloped; not a maturity-specific cue.,"Green; exposure can produce reddish coloration, so color is weak for maturity.","Fully expanded, smooth/glabrous succulent lamina.",Mature leaves: fully expanded; ~2-month-old flushed leaves in the cited controlled study.,Fully expanded larger succulent leaf. Size/area is much stronger than texture or color for separating it from young leaves.,Leaf length and width after local calibration; fully expanded appearance.,High (relative),Low,Low,"If confidence is low, a fully expanded leaf that falls in your locally learned mature size distribution supports Mature. If only texture/color is known, manual evidence should be considered insufficient.",High for full expansion/relative area; Low for universal absolute dimensions.,Yes,Expert_Verification_Recommended,"Healthy mature Kalanchoe pinnata leaves are medicinally relevant, and K. pinnata leaf extracts contain phenolics, flavonoids and other bioactive compounds. One study found higher vitamin C in juice from older plants, but that result concerns plant age rather than a validated mature-leaf stage. The current evidence is therefore insufficient to rank Mature above Young solely from an image-based maturity prediction.",Low,https://doi.org/10.1016/j.bbabio.2019.04.006 | https://pubmed.ncbi.nlm.nih.gov/31029592/ | https://www.nzflora.info/factsheet/Taxon/Kalanchoe-pinnata.html | https://floraofsrilanka.com/species/659 | https://pmc.ncbi.nlm.nih.gov/articles/PMC6930271/ | https://pubmed.ncbi.nlm.nih.gov/31875020/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC11247786/
murraya_koenigii,Young,Young,1,Yes,,,,,No validated universal young-leaflet cm range found.,"A large germplasm study found young-leaf pigmentation present in ~95% of accessions. Mature Sri Lankan leaflets are commonly around 3-4 x 1-2 cm, providing a useful endpoint for local calibration.",Smallest / least expanded stage.,Tender/soft relative to mature leaflets; use as secondary support because quantitative texture data are limited.,"Crenate to serrate; edge type is mainly species/cultivar morphology, not a strong stage cue.","Young flush commonly shows pigmentation; exact hue can vary by accession, so use presence of flush pigmentation rather than a single fixed color.",Tender new flush; may show visible pigmentation before mature green coloration.,New apical flush / recently emerged leaflet; smaller and incompletely expanded.,Small tender leaflet with young-flush pigmentation and incomplete expansion.,Relative leaflet size; presence of young-leaf pigmentation; position near shoot tip if known.,High (relative),Medium-Low,High,"When confidence is low, Small + clear young-flush pigmentation supports Young. Do not use a universal cm threshold until your Sri Lankan samples are measured.",High for young-leaf pigmentation; Medium for purely visual Young classification.,Yes,Suitable,"Young curry leaves are suitable medicinal material and can contain high levels of several phytochemicals. A 2025 comparison found young leaves had higher total flavonoids, saponins and tannins than mature leaves, although mature leaves showed somewhat stronger DPPH antioxidant activity. This means Young is medicinally valuable, but not universally superior for every biological effect.",High,https://www.researchgate.net/publication/403541769_Qualitative_morphological_diversity_and_eco-geographical_structuring_of_curry_leaf_Murraya_koenigii_L_Spreng_germplasm_in_India | https://doi.org/10.31357/fesympo.v24i0.4242 | https://doi.org/10.56303/jhnresearch.v4i3.459
murraya_koenigii,Developing,Developing,2,Yes,,,,,Developing is a project-defined intermediate class; no universal published numeric threshold was found.,Use as a calibrated transition between locally measured Young and Mature distributions. Mature Sri Lankan leaflets provide a reference endpoint around 3-4 x 1-2 cm.,Intermediate / partially to mostly expanded.,Intermediate firmness between tender young flush and mature leaflets.,Crenate to serrate; not a primary maturity cue.,Transition toward mature green; young-flush pigmentation should be reduced/fading if present.,Partially or mostly expanded transitional leaflet.,Intermediate between newly emerged pigmented flush and fully expanded mature leaflet.,"Medium/intermediate size, more expanded than Young but not yet matching the local mature size/appearance; pigmentation may be fading.",Intermediate leaflet size; partial/full expansion; fading young pigmentation.,High after local calibration,Medium-Low,Medium,"Use Developing only as the intermediate evidence state between calibrated Young and Mature references. If manual features strongly match either endpoint, do not force Developing merely because the CNN confidence is low.",Moderate; this is an evidence-informed project-defined transition rather than a universal botanical stage boundary.,Yes - essential,Expert_Verification_Recommended,"Developing is a project-defined intermediate visual stage. Direct published evidence quantifying medicinal activity specifically at this intermediate stage was not found. It is reasonable to expect bioactive compounds to be present, but the system should not rank this stage as medicinally better or worse than Young or Mature without local phytochemical or expert validation.",Low,https://doi.org/10.31357/fesympo.v24i0.4242 | https://www.researchgate.net/publication/403541769_Qualitative_morphological_diversity_and_eco-geographical_structuring_of_curry_leaf_Murraya_koenigii_L_Spreng_germplasm_in_India | https://doi.org/10.56303/jhnresearch.v4i3.459
murraya_koenigii,Mature,Mature,3,Yes,3.0,4.0,1.0,2.0,"Strong Sri Lankan mature-leaflet reference, but still use as soft support because varieties/accessions differ.",A Sri Lankan study examining mature leaflets about 15 cm below the shoot apex reported leaflets around 3-4 cm long and 1-2 cm wide.,Fully expanded / largest of the project's three stages.,"Smooth/glabrous, shiny and firmer than young flush.",Crenate to serrate/slightly toothed.,Usually green to dark green; germplasm studies also report some pale-green mature accessions.,"Fully expanded, generally shiny/smooth mature leaflet.",Mature leaflet; Sri Lankan study sampled mature foliage around 15 cm below shoot apex.,"Fully expanded green leaflet, commonly around the Sri Lankan 3-4 x 1-2 cm reference, with reduced/absent young-flush pigmentation.",Leaflet length and width; full expansion; mature green color; reduced young pigmentation.,High,Medium,Medium-High,"When confidence is low, measurements close to the locally validated mature distribution plus full expansion and mature green coloration support Mature. Treat 3-4 x 1-2 cm as a Sri Lankan soft reference, not a universal cutoff.",High for Sri Lankan mature morphology.,Recommended,Suitable,"Mature curry leaves are suitable medicinal material. Direct comparative research found stronger DPPH antioxidant activity in mature leaves than young leaves, despite lower total flavonoid, saponin and tannin concentrations. Mature Sri Lankan curry leaves have also been used in phytochemical and bioactivity studies. The evidence supports high medicinal relevance, while showing that different phytochemicals do not all peak at the same stage.",High,https://doi.org/10.31357/fesympo.v24i0.4242 | https://journals.sjp.ac.lk/index.php/fesympo/article/view/4242 | https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A771522-1/general-information | https://doi.org/10.56303/jhnresearch.v4i3.459 | https://pmc.ncbi.nlm.nih.gov/articles/PMC8273414/
